NAME,City,State,Postal Code,Age,Breed,Image URL,Access URL,Location,Coordinate,lat,lng,Shelter
Aura,Los Angeles,CA,90031,Adult,Chihuahua & Dachshund Mix,https://dbw3zep4prcju.cloudfront.net/animal/db93aafa-b912-4c0a-9e36-a23bfe232d9f/image/7b14a6ab-2acf-460f-9e37-5dc192043f03.jpeg?versionId=B8P0zh2pmeQy8TbeYZ7VeSfUbitkyt9A&bust=1732076882&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
China,Los Angeles,CA,90031,Young,German Shepherd Dog,https://dbw3zep4prcju.cloudfront.net/animal/47b63670-26b8-4243-bfd3-e58ebd7ee4e8/image/679179ac-e896-4c29-82b4-02e884a4d43a.jpeg?versionId=0BGhvhruvCCvxGIBR3CMOgCDqQhgb1X7&bust=1732076753&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Rita,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/4819d0a3-4866-43f7-a1f9-067af0785854/image/85478208-4362-4602-a62a-bde6e7bd0322.jpeg?versionId=Bfo9iY.QoKCmRwhWh5ulgAQS7jUsBYwp&bust=1732076640&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Chocorollo Choco,Los Angeles,CA,90031,Young,Belgian Shepherd / Malinois,https://dbw3zep4prcju.cloudfront.net/animal/e3bfb02c-90d3-4033-b2e9-b87fe4a1ed69/image/715ffc0b-444b-411c-8840-110e7448b2c0.jpeg?versionId=27ue9nQbGbxVsbswQxCRZODuK3Ig4v9l&bust=1730146426&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Dori,Los Angeles,CA,90031,Young,Siberian Husky,https://dbw3zep4prcju.cloudfront.net/animal/9a7f30a5-7aee-40f6-96b2-d9337738bb51/image/4c7b90d6-e6cd-47aa-938e-b067c37ca2e8.jpeg?versionId=ch.PzL7abidNHDlto6quQ_l03piSBUwO&bust=1730146097&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Sarge,Los Angeles,CA,90031,Young,Siberian Husky,https://dbw3zep4prcju.cloudfront.net/animal/41574cca-8eb1-45d8-a399-7df26ac77a84/image/06726041-e509-45bb-80a4-34f7428c072b.jpeg?versionId=pPb53U19aAllihyC3rI6klgQzYgfXJ1P&bust=1717574280&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Biscuit,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/fc046c00-b827-47ea-a11d-a510707e6a20/image/2a59f101-3b96-4f0e-9f9d-38193eed25f7.jpg?versionId=j.qJt5Q60T10kGiYmu2RAhTmuY3LVnhB&bust=1731052907&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Yara,Los Angeles,CA,90031,Adult,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/3c422d8c-70d9-4f6a-9e69-e17fececca60/image/5f5d5237-2d5f-4225-b9e7-e34f17156010.jpg?versionId=L98wJHNWxNnCLGSc57adYOOCT56p0wUD&bust=1732518772&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Uma,Los Angeles,CA,90031,Young,Boxer,https://dbw3zep4prcju.cloudfront.net/animal/c999474a-35bb-405d-adbd-8ee5c316f8bb/image/8f169274-17be-49df-8766-51e6bfb3cbdf.jpg?versionId=YvH1P5jnU3zPHIFiUNWMg_s9mVA5DQJA&bust=1732685826&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Cazzu,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/b6029bc2-85d8-486a-9e40-8ca171d736f8/image/1e4f9954-c4d9-4495-a771-376b40453e4d.jpg?versionId=deZ319A3P3ExtJM7Z6TcJzbKEcFbVjlM&bust=1732161950&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
